Series_Title,Genre,IMDB_Rating,Meta_score,No_of_Votes,Runtime,Genre_Name
The Shawshank Redemption,0,9.3,0.8,2343110,142,Drama
The Godfather,1,9.2,1,1620367,175,Crime
The Dark Knight,2,9,0.84,2303232,152,Action
The Godfather: Part II,1,9,0.9,1129952,202,Crime
12 Angry Men,1,9,0.96,689845,96,Crime
The Lord of the Rings: The Return of the King,2,8.9,0.94,1642758,201,Action
Pulp Fiction,1,8.9,0.94,1826188,154,Crime
Schindler's List,3,8.9,0.94,1213505,195,Biography
Inception,2,8.8,0.74,2067042,148,Action
Fight Club,0,8.8,0.66,1854740,139,Drama
The Lord of the Rings: The Fellowship of the Ring,2,8.8,0.92,1661481,178,Action
Forrest Gump,0,8.8,0.82,1809221,142,Drama
"Il buono, il brutto, il cattivo",4,8.8,0.9,688390,161,Western
The Lord of the Rings: The Two Towers,2,8.7,0.87,1485555,179,Action
The Matrix,2,8.7,0.73,1676426,136,Action
Goodfellas,3,8.7,0.9,1020727,146,Biography
Star Wars: Episode V - The Empire Strikes Back,2,8.7,0.82,1159315,124,Action
One Flew Over the Cuckoo's Nest,0,8.7,0.83,918088,133,Drama
Hamilton,3,8.6,0.9,55291,160,Biography
Gisaengchung,5,8.6,0.96,552778,132,Comedy
Soorarai Pottru,0,8.6,0,54995,153,Drama
Interstellar,6,8.6,0.74,1512360,169,Adventure
Cidade de Deus,1,8.6,0.79,699256,130,Crime
Sen to Chihiro no kamikakushi,7,8.6,0.96,651376,125,Animation
Saving Private Ryan,0,8.6,0.91,1235804,169,Drama
The Green Mile,1,8.6,0.61,1147794,189,Crime
La vita è bella,5,8.6,0.59,623629,116,Comedy
Se7en,1,8.6,0.65,1445096,127,Crime
The Silence of the Lambs,1,8.6,0.85,1270197,118,Crime
Star Wars,2,8.6,0.9,1231473,121,Action
Seppuku,2,8.6,0.85,42004,133,Action
Shichinin no samurai,2,8.6,0.98,315744,207,Action
It's a Wonderful Life,0,8.6,0.89,405801,130,Drama
Joker,1,8.5,0.59,939252,122,Crime
Whiplash,0,8.5,0.88,717585,106,Drama
The Intouchables,3,8.5,0.57,760360,112,Biography
The Prestige,0,8.5,0.66,1190259,130,Drama
